Artwork Title,Artwork ID,Sequence on Profile,Filename,File Type,External URL,Artist Name,Privacy Controls,Marketing Consent,Bow Agreements,SFW?,Artwork Caption,Price,Benefitting,Year,Medium,Materials,Dimensions / Specs,Location Created,Geographic Reference/s,Genre,Subset Of,References,Languages,Credits,Press Link 1,Distributor,Tech Specs,Tags
Leopard Lioness: Leo Laying,,7,Domina_Mara_IMG_4036-sm.png,Image,,Domina Mara,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"Were you aware that there is such a thing as a leopard x lion mix?  This Panthera Hybrid is named a Leopon.  My solar + lunar signs are Leo, the Lion, and my birth month is August.  The dress I chose to represent my sensual, sleek feline attributes was a satin leopard print with a matching pair of designer sunglasses to add mystery.  I added leather gloves + shoes to accompany the outfit as well as a sharp crop, to ensure a stinging bite.",,,2017,Photography / Print,,"Available Sizes from 4x6"" to 20x30""",,,,,,Title in English,Self-portrait [Domina Mara].,,,,
Garnet + Guard:  Any Good News?,,8,Domina_Mara_IMG_3321-sm.png,Image,,Domina Mara,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"Garnet is the January birth stone and the crimson, pink, gold, and green colors are a nice bridge from the holiday season.  Red is also a symbol for good luck and happiness in Chinese culture.  This calendar year celebrates the year of the dog in the Chinese Zodiac, hence my guard pup~  This is a story on how the Mistress lead us form the garden into the building, up the hotel, and into a room where the sensuality can finally occur behind closed doors…",,,2017,Photography / Print,,"Available Sizes from 4x6"" to 20x30""",,,,,,Title in English,Self-portrait [Domina Mara + pup AV].,,,,
Mommy Time: Sleep Little Lambs,,9,Domina_Mara_IMG_2481-sm.jpg,Image,,Domina Mara,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"This metaphorical series is dedicated to Mother’s Day and the quality time our Mommys have given to us since our innocent birth to help nurture us into who we are today.  Since I also choose not to have any children of My own, My submissives are who I care for.",,,2017,Photography / Print,,"Available Sizes from 4x6"" to 20x30""",,,,,,Title in English,Self-portrait [Domina Mara].,https://youtu.be/L4Bk3whB864,,Press Links are recap videos of art shows the pieces were featured in.,
Poppy + Puppy:  Ball Toss,,10,Domina_Mara_IMG_5654-sm.png,Image,,Domina Mara,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"I was given a K9 mask, collar, and leash by Stockroom Design to create a kinky concept and came up with a weekend playing with My pup in the poppy fields during the Superbloom. **NO FLOWERS WERE HARMED - all fields are photoshopped over trails**",,,2019,Photography / Print,,"Available Sizes from 4x6"" to 20x30""",,,,,,Title in English,"Visual Concept + Editing by Domina Mara, featuring Fetish Fellow, shot by AV.",https://youtu.be/yTbMTp_QWg8,,Press Links are recap videos of art shows the pieces were featured in.,
MONUMENT TO THE UNCOUPLE,,4,Empress_Wu_DIVORCE.jpg,Image,,Empress Wu,Me + Artists + Patrons + Public,1 checked out of 1,checked,,"Through this performance score, I want to explore what it means to be uncoupled; what exactly constructs a union if that union isn’t ratified by the state? If we aren’t interested in engaging in a marital agreement for the purpose of obtaining property, nor for the heterosexual bio-utility of production, then divorce isn’t about loss, because there was no property in the first place. Divorce becomes a celebration, an empty space from which the next evolution can take place; the uncoupling is the release from the container, a choreographed event of care, a maintenance of intimacy via deconstruction",,,2019,performance,,,"Galveston, TX",,relational aesthetics,,Marriage,,"Photos by Junior Fernandez, featuring Anastasia Vayner",,,photo of a performance,"divorce,marriage,monument,performance art"
MARRIAGE,,3,Empress_Wu_MARRIAGE_1.jpg,Image,,Empress Wu,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"The performance of a union >> “During this hour of consciousness, the couple has requested to be collected into a membrane all unto themselves, a cocoon  to identify this instance of union and desire, and to give their present a formlessness, from which could emerge all possible forms.”",,,2018,performance,,,"New York, NY",,relational aesthetics,,,,"Photos by Ursula Barker, featuring Anastasia Vayner",,,photo of a performance,"marriage,desire,performance art"
PARTICIPATION TROPHY,,2,Empress_Wu_WU_Participation_trophy_1.JPG,Image,,Empress Wu,Me + Artists + Patrons + Public,1 checked out of 1,checked,,"An anthology zine about intimacy and agreements, written in the form of love letters.",$20.00 ,,2020,zine,,"5 1/2 x 8 1/2"" zine, 32 pages","Texas, New York","Austin, Houston, NYC",relational aesthetics,,"Marriage, Monument to the Uncouple, On Multiculturalism and Desire",English,,,,Screenshot of zine,"zine,letter,marriage,SM,objecthood,art history"
ON MULTICULTURALISM AND DESIRE,,5,Empress_Wu_ON_MULTICULTURALISM_AND_DESIRE.pdf,Document,https://www.yumpu.com/en/document/read/65288931/empress-wu-on-multiculturalism-and-desire,Empress Wu,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"A love letter, written in multiple points of time.",,,2019,essay,,3 pages,"New York, NY","LA,NYC",relational aesthetics,,,English,,,,,"essay,letter,theory of a young girl,love letter"
MEATSPACE,,6,Empress_Wu_MEATSPACE_1.jpg,Image,,Empress Wu,Me + Artists + Patrons + Public,1 checked out of 1,checked,,"Empress Wu's terrible utopia, where all subs are ripe for feasting.",,,2019,photography,,,"New York, NY",,,,Frances Bacon's Figure with Meat,,"Photos by Lanee Bird, Makeup by Cass Raimundi",,,,"photograph,carnivore,SM,BDSM,pig"
Veil Machine Presents: E-VICTION,,7,Empress_Wu_EVICTION_DESTRUCTION.png,Image,,Empress Wu,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"E-Viction is a virtual arthouse / whore gallery event that existed for 12 hours before self-destructing. Log on and be seduced by our virtual peepshow where you’ll have intimate encounters with sex workers and artists making art and sex live on cam. Scroll through performers’ ads, shop art and sex objects at our E-Banned shop, learn about legislation that threatens sex workers and free speech online, join raunchy chat rooms, and protest digital gentrification. But be sure to tune in before it’s all gone at midnight. E-Viction is the only deplatforming you can prepare for in advance.",,,2020,"performance,digital installation",,12 hour event,"New York, NY",US,"relational aesthetics,participatory art",,"On Multiculturalism and Desire, Meatspace","English,Spanish","Crew: Aarati Akkapeddi, Rena Li, Minxy Lopez, Samone, Urzulka, Abe, Shayla Lange, Lady Euphoria, Yves, Olive. E-Viction is produced by Veil Machine as part of the 2020 Rapid Response residency at Eyebeam and supported by Kink Out Events.",https://www.vice.com/en_us/article/jgxbag/sex-workers-earn-it-virtual-protest-e-viction,,screenshot of destruction,"sex work,performance,protest,event"
Gxd is a Hooker and Heaven is a Cash Only Establishment,,1,Fera_Lorde_GxdIsAHooker_2020.jpeg,Image,,Fera Lorde,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,A portrait of gxd,,,2020,Mixed Media with Beeswax and 24K gold on birch,,"30"" x 60"" x 1.5""",Brooklyn,,,,,English/N/A,,,,,
Shame [can be a void or a mirror],,8,Fera_Lorde_Shame_2020.jpg,Image,,Fera Lorde,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"An altar for my brother, part of a series of meditations on death",,,2020,Mixed Media with ashes and silver on birch,,"48"" round x 1.5""",Brooklyn,,,,,English/N/A,,,,,
Death Fetish,,3,Fera_Lorde_Lorde_Fera_DeathFetish_MixedMedia_48x48.png,Image,,Fera Lorde,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,A part of a series of meditations on death,,,2017,"Mixed Media with Milk,Goldleaf,Hair,and Resin on birch",,"48"" x 48"" x 2""",Chicago and Seattle,,,,,English/N/A,,,,,
Tru Luv,,2,Fera_Lorde_Lorde_truluv.jpg,Image,,Fera Lorde,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,Self portrait,,,2020,"Mixed Media with roses,blood and money on birch",,"24"" x 36"" x 1.5""",brooklyn,,,,,English/N/A,,,,,
Maëva,,6,Fera_Lorde_Lorde_Fera_Maeva_MixedMedia_15x30.jpeg,Image,,Fera Lorde,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"A portrait of my neice, made during the 2020 BLM uprising",,,2020,Mixed Media with Milk and Tiger Lily Pollen on Maple,,"15"" x 30"" x 1""",Brooklyn,,,,,English/N/A,,,,,
Everywhere There Are Angels [birdshit and blood stains on pavement],,5,Fera_Lorde_EverywhereThereAreAngels_2020.JPG,Image,,Fera Lorde,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,Made during the 2020 BLM uprising,,,2020,"Mixed Media with debris,blood,and tobacco on birch",,"24"" x 48"" x 2""",Brooklyn,,,,,English/N/A,,,,,
"Hunger [is a catalyst, not an excuse]",,7,Fera_Lorde_Lorde_hunger.jpg,Image,,Fera Lorde,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,A part of a series of meditations on death,,,2018,"Mixed media with blood,spit,milk,and silver on birch",,"36"" round x 1.5"" ",Seattle and Brooklyn,,,,,English/N/A,,,,,
Bloodshed in Heaven [the first brick],,4,Fera_Lorde_TheFirstBrick_2020.jpeg,Image,,Fera Lorde,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"A dedication to our ancestors at Stonewall, made during the 2020 BLM uprising",,,2020,Mixed Media with Milk and Resin on Birch,,"24"" x 24"" x 1.5""",Brooklyn,,,,,English/N/A,,,,,
Incentive,,1,Fletcher_Fletcher5.jpeg,Image,,Fletcher,Me + Artists + Patrons + Public,0 checked out of 1,checked,,"BDSM ritual/ play still: a willing body in a hanging leather cage, and the possibility that reward might follow punishment",,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,,"bondage,captive"
Lunch Hour 1,,4,Fletcher_fletcher3.jpg,Image,,Fletcher,Me + Artists + Patrons,0 checked out of 1,checked,,BDSM ritual/ play still: latex and power play,,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,,latex
Lunch Hour  4,,7,Fletcher_fletcher12.jpg,Image,,Fletcher,Me + Artists + Patrons,0 checked out of 1,checked,,BDSM ritual/ play still: blind consumption ,,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,,
The Doll 2,,3,Fletcher_Doll2.jpeg,Image,,Fletcher,Me + Artists + Patrons,0 checked out of 1,checked,,BDSM ritual/ play still: lust gone feral,,,2020,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,,,,,"leather fetishist,human doll"
Lunch Hour 2,,5,Fletcher_fletcher4.jpg,Image,,Fletcher,Me + Artists + Patrons,0 checked out of 1,checked,,BDSM ritual/ play still: latex and power play,,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,,latex
Lunch Hour 3,,6,Fletcher_fletcher11.jpg,Image,,Fletcher,Me + Artists + Patrons,0 checked out of 1,checked,,BDSM ritual/ play still: blind consumption ,,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,,
The Doll 1,,2,Fletcher_Doll1.jpeg,Image,,Fletcher,Me + Artists + Patrons,0 checked out of 1,checked,,BDSM ritual/ play still: a gender adventurer in a pink leather hood,,,2020,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,,,,,"leather fetishist,human doll"
Self Portrait ,,1,Juniper_Juicy_self.jpg,Image,,Juniper Juicy,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"Thee Self Love Slut~ Juniper Juicy, has cum humanside 2 remind us all the power of play, pleasure, touching urself, & twerking like no1s watching~ ",,,2020,photography,,N/A,,,,,,English,,,,,
Window Troll,,8,Juniper_Juicy_WindowTroll.jpg,Image,,Juniper Juicy,Me + Artists + Patrons + Public,1 checked out of 1,checked,,Quarantine life has got us at the window hoping our neighbors are just as much voyeurs as we an exhibitionist ~ ,,,2020,photography,,N/A,,,,,,English,Shot by ireallyhopeyouwin,,,,
Frosted Cake,,2,Juniper_Juicy_FrostedCake.jpg,Image,,Juniper Juicy,Me + Artists + Patrons + Public,1 checked out of 1,checked,,"Nothing better than a well frosted cake, & JJ has quite the method2 achieve this perfection~",,,2019,photography & cakesits,,N/A,,,,,,English,,,,,
Unboxing,,6,Juniper_Juicy_Unboxing.jpg,Image,,Juniper Juicy,Me + Artists + Patrons,1 checked out of 1,checked,,Answer our riddles 3 & maybe U can peak what's underneath our bridge~ ,,,2020,photography,,N/A,,,,,,English,Shot by ireallyhopeyouwin,,,,
Grapejob,,7,Juniper_Juicy_GrapeJob.mp4,Video,https://vimeo.com/514145808/426b3830b6,Juniper Juicy,Me + Artists + Patrons,1 checked out of 1,checked,,"Size doesn't matter, its all about the vibe & the taste~ ",,,2019,Soft food porn,,37 secs long,,,,,,English,,,,,
Shower tease,,3,Juniper_Juicy_ShowerTease.mp4,Video,https://vimeo.com/514145920/58642daba8,Juniper Juicy,Me + Artists + Patrons,1 checked out of 1,checked,,"As much as this troll fae loves a good mess, cleaning up can be quite fun 2~ ",,,2019,"videography,solo erotic",,18 secs long,,,,,,English,,,,,
A Mouthful,,10,Juniper_Juicy_AMouthful.JPG,Image,,Juniper Juicy,Me + Artists + Patrons + Public,1 checked out of 1,checked,,Do U think U have what it takes 2 push us 2 make this kinda mess? ,,,2019,photography,,N/A,,,,,,English,Shot by 1000EyesPhotography,,,,
Bedtwerk,,9,Juniper_Juicy_Bedtwerk.mp4,Video,https://vimeo.com/514146109/09ba35474e,Juniper Juicy,Me + Artists + Patrons,1 checked out of 1,checked,,Just showing off our natural talent& biggest ASSet ~ ,,,2020,"Videography,dance",,1:03 long ,,,,,,English & Swahili,Song 5 Fingers by K W A M E & Sho Madjozi,,,,
Vday Treat,,4,Juniper_Juicy_Vdaytreat.JPG,Image,,Juniper Juicy,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"Love cums in many forms, do u dare explore what we offer?~ ",,,2019,photography,,N/A,,,,,,English,Shot by 1000EyesPhotography,,,,
Performance ,,5,Juniper_Juicy_Performance.mp4,Video,https://vimeo.com/514145983/4830b071f5,Juniper Juicy,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"Once upon a time, we performed live in bars ~ This is just a smalll snippet of that past life~",,,2019,drag,,36 secs long,,,,,,English,,,,,
MUDSKY 02,,1,Laur_MUDSKY02.png,Image,,Laur,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,NIGHT OF THE HUNTER IS DEAD,$300.00 ,,2020,MUD ON PAPER,MUD ON PAPER,9 x 11 IN ,IN THE WOODS,,,,,,,,,,
RED LAYLA ,,3,Laur_REDLAYLA.png,Image,,Laur,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,NOT A GHOST ,"$2,000.00 ",,2020,RED SPRAYPAINT ON VELLUM,RED SPRAYPAINT ON VELLUM ,36 x 74 IN,BY THE LAKE,,,,,,,,,,
COLD KIL NIGHT 03,,6,Laur_COLDKILNIGHT03.mov,Video,https://vimeo.com/514145233/518d3041c3,Laur,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,FELL FROM THEIR BODY ,,,2020,VIDEO,VIDEO,WEB VERSION 640 X360,TAKEN BY THE KIL ,,,,,,,,,,
URSULA,,7,Laur_URSULA.png,Image,,Laur,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,URSULA EVICTION PERFORMANCE AFTERMATH,,,2020,"FISHNETS,PAINT,MUD,BLOOD,SHOE GREASE,WAX,CLAY,RAZORS,FLOWERS AND CHARCOAL ON CANVAS STRETCHED ON PLYWOOD","FISHNETS, PAINT, MUD, BLOOD, SHOE GREASE, WAX, CLAY, RAZORS, FLOWERS AND CHARCOAL ON CANVAS STRETCHED ON PLYWOOD",4FT X 8 FT,ON THIN ICE,,,,,,,,,,
TREE,,4,Laur_TREE.png,Image,,Laur,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,INSIDE OF A CUT DOWN TREE,$666.00 ,,2020,FIRE PIT COALS AND RAIN ON PAPER,FIRE PIT COALS AND RAIN ON PAPER,22 X 33,THROUGH THE HOLE,,,,,,,,,,
RED BK NIGHTFALL,,2,Laur_REDBKNIGHTFALL.png,Image,,Laur,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,IN THE SUMMER HEAT,"$2,000.00 ",,2020,RED SPRAYPAINT ON VELLUM,RED SPRAYPAINT ON VELLUM ,36 x 74 IN ,IN THE SHED,,,,,,,,,,
URSULA UNDERGROUND 06,,5,Laur_URSULAUNDERGROUND06.png,Image,,Laur,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,URSULA'S ARMOR ,$300.00 ,,2020,CHARCOAL ON PAPER,CHARCOAL ON PAPER,8 x 11 IN ,UNDERGROUND,,,,,,,,,,
Unbound,,1,Lena_Chen_Unbound_10.jpg,Image,,Lena Chen,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"Unbound explores the inheritance of ancestral trauma. My great-great grandmother was the last woman in my family to have bound feet. At age four (the same age when girls begin the process of foot-binding), I spent six months living in my ancestral home in Kaiping, China, where I suffered a fracture to my left foot. I solicit men via Craigslist and Tinder for anonymous “foot worship” sessions in which they pay to rub, kiss, and lick my feet. I construct an altar to my great-great grandmother and invite audience members to sit with me inside a circle of rice and to trade foot massages as we share stories of family pain. Performed at performance space, Folkestone, UK, October 2019.",,,2018,Photography,,,"London & Folkestone, UK",,"performance,photography",Unbound,,,Collaborators: Alexandra Bell & Jack Murphy,,,,"foot worship,ancestral trauma"
Starfire,,5,Lena_Chen_STARFIRE-STILL-8.png,Image,,Lena Chen,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"In “Starfire”, I use menstruation as the basis for a feminist reenactment of the Holy Eucharist. I appear as the Scarlet Woman, who transforms the profane into the sacred by reimagining religious rituals from a feminist perspective. ",,,2018,Music Video,,,"Berlin, Germany",,performance,,,,Collaborators: Molly Caitlin Baber,,,,"ritual,blood,menstruation,occult"
Nurture,,3,Lena_Chen_Lena_Chen_Nurture.jpg,Image,,Lena Chen,Me + Artists + Patrons + Public,1 checked out of 1,checked,,"Nurture presents motherhood as a durational performance and as an act of love and labor. In the role of the archetypal Mother, the artist offers her empathy and her body to the audience in an intimate, one-on-one interaction. Holding participants in her arms so that they may suckle from her breast, she plays a soundtrack of lullabies sung by mothers in different languages, while inviting them to discuss their thoughts about their mothers or motherhood. Performed at Tempting Failure Biennial of Performance Art and Noise, London, UK, July 2018.",,,2018,Performance/Participatory Art,,,"London, UK",,"performance,photography",Nurture,,,Collaborators: Molly Caitlin Baber & Jack Murphy,,,,"breastfeeding,motherhood,care work,performance art"
Purify,,4,Lena_Chen_Purify_2.jpg,Image,,Lena Chen,Me + Artists + Patrons,1 checked out of 1,checked,,"Rope, fire, blood, earth, wood, water, wax, metal. Audience members write down their fears and sins on slips of paper, which are tucked under ropes that bind my body. The papers are read aloud and burned as the artists shed their blood in a cleansing ritual. Performed at Gelegenheiten, Berlin, Germany, March 2019.",,,2019,Performance/Participatory Art,,,"Berlin, Germany",Former Butcher Shop,performance,,,,"Collaborators: Zarahlena
Cristina Söderström Martos
Chandler Barnes (ropes/piercing)
Bommi Pelletiér (music) ",,,,"ritual,shibari,rope bondage,blood"
Altar to Song Yang,,6,Lena_Chen_Altar_to_Yang_Song.jpg,Image,,Lena Chen,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"In collaboration with Red Canary Song, a grassroots organization which advocates and provides resources for Asian and migrant sex workers, I organized a ritual and temporary altar to honor a massage worker who died during a NYPD raid. The site was 302 Broome St, a former Asian massage parlor.",,,2019,Participatory art/public installation,,,"New York City, USA",Former massage parlour,performance,,,,Collaborators: Red Canary Song,,,,"ritual,sex work,vigil,site-specific"
Starfire,,7,Lena_Chen_STARFIRE-STILL-7.png,Image,,Lena Chen,Me + Artists + Patrons + Public,1 checked out of 1,checked,checked,"In “Starfire”, I use menstruation as the basis for a feminist reenactment of the Holy Eucharist. I appear as the Scarlet Woman, who transforms the profane into the sacred by reimagining religious rituals from a feminist perspective. ",,,2018,Music Video,,,"Berlin, Germany",,performance,,,,Collaborators: Molly Caitlin Baber,,,,"ritual,blood,menstruation,occult"
